Address State,Application Type,Emp Length,Emp Title,Good vs Bad Loan,Good vs Bad Loan (copy),Grade,Home Ownership,Id,Issue Date,Last Credit Pull Date,Last Payment Date,Loan Status,Member Id,Months,Next Payment Date,Purpose,Sub Grade,Term,Verification Status,Annual Income,AVG DTI Rate,Avg Interest rate,Bad  Loan % ,Bad Loan Amount Received,Bad Loan Application,Bad Loan Funded Amount,Dti,Dynamic Measure,Good Loan %,Good Loan Amount Received,Good Loan Application,Good Loan Funded Amount,Installment,Int Rate,Loan Amount,Total Acc,Total Funded Amount,Total Funded Amount (copy),Total Loan Application,Total Payment,Total Received Amount,default_probability,default_risk
CA,INDIVIDUAL,< 1 year,,Good Loan,Good Loan,1,4,54734,8/9/2021,8/12/2021,10/11/2021,0,80364,8/1/2021 12:00:00 AM,11/11/2021,0,B4,0,Verified,85000.0,0.194800004,0.118900001,0,,0,,0.194800004,1,1,29330.0,1,25000.0,829.099975586,0.118900001,25000,42,25000,25000,1,29330,29330,0.06943624847449992,Low
NY,INDIVIDUAL,< 1 year,CNN,Good Loan,Good Loan,1,4,55742,5/8/2021,8/12/2021,6/11/2021,0,114426,5/1/2021 12:00:00 AM,7/11/2021,2,B5,0,Not Verified,65000.0,0.142900005,0.107100002,0,,0,,0.142900005,1,1,8216.0,1,7000.0,228.220001221,0.107100002,7000,7,7000,7000,1,8216,8216,0.13877568515067668,Low
TX,INDIVIDUAL,10+ years,city of beaumont texas,Good Loan,Good Loan,2,3,57245,3/10/2021,5/16/2021,3/13/2021,0,138150,3/1/2021 12:00:00 AM,4/13/2021,0,C2,0,Not Verified,54000.0,0.054699998,0.131099999,0,,0,,0.054699998,1,1,1458.0,1,1200.0,40.5,0.131099999,1200,31,1200,1200,1,1458,1458,0.23301536465602324,Low
CT,INDIVIDUAL,6 years,State Farm Insurance,Good Loan,Good Loan,2,4,57416,11/9/2021,5/16/2021,11/12/2021,0,139635,11/1/2021 12:00:00 AM,12/12/2021,0,C3,0,Not Verified,32000.0,0.116300002,0.135700002,0,,0,,0.116300002,1,1,13208.0,1,10800.0,366.859985352,0.135700002,10800,40,10800,10800,1,13208,13208,0.15447634642238303,Low
CA,INDIVIDUAL,3 years,QUalcomm Inc,Good Loan,Good Loan,1,4,58915,4/8/2021,3/14/2021,4/11/2021,0,153417,4/1/2021 12:00:00 AM,5/11/2021,0,B3,0,Not Verified,85000.0,0.081,0.1008,0,,0,,0.081,1,1,5844.0,1,7500.0,162.339996338,0.1008,7500,11,7500,7500,1,5844,5844,0.14457743112195726,Low
TX,INDIVIDUAL,3 years,,Good Loan,Good Loan,2,0,59006,9/9/2021,9/12/2021,10/12/2021,0,154254,9/1/2021 12:00:00 AM,11/12/2021,2,C5,0,Not Verified,80800.0,0.149700001,0.1426,0,,0,,0.149700001,1,1,3705.0,1,3000.0,102.919998169,0.1426,3000,23,3000,3000,1,3705,3705,0.23727421978988245,Low
TX,INDIVIDUAL,< 1 year,,Good Loan,Good Loan,0,0,61390,2/10/2021,3/12/2021,3/12/2021,0,182594,2/1/2021 12:00:00 AM,4/12/2021,2,A5,0,Not Verified,148000.0,0.169799998,0.0788,0,,0,,0.169799998,1,1,4452.0,1,4000.0,125.129997253,0.0788,4000,19,4000,4000,1,4452,4452,0.1564369274829292,Low
MD,INDIVIDUAL,1 year,Pension Benefit Guaranty Corporation,Bad Loan,Bad Loan,3,4,61419,2/10/2021,3/13/2021,10/12/2021,1,182917,2/1/2021 12:00:00 AM,11/12/2021,0,D2,0,Not Verified,45000.0,0.039999999,0.149599999,1,6475.0,1,5600.0,0.039999999,1,0,,0,,194.020004272,0.149599999,5600,9,5600,5600,1,6475,6475,0.22887970330452034,Low
MA,INDIVIDUAL,5 years,Rockwell Automation Inc.,Good Loan,Good Loan,1,4,62102,4/10/2021,3/13/2021,2/11/2021,0,191024,4/1/2021 12:00:00 AM,3/11/2021,0,B1,0,Not Verified,54000.0,0.065099999,0.098800004,0,,0,,0.065099999,1,1,3414.0,1,3200.0,103.080001831,0.098800004,3200,11,3200,3200,1,3414,3414,0.1709272556910624,Low
MI,INDIVIDUAL,< 1 year,"Infotrieve, Inc.",Bad Loan,Bad Loan,1,0,65426,8/9/2021,5/16/2021,6/11/2021,1,232106,8/1/2021 12:00:00 AM,7/11/2021,1,B1,0,Not Verified,60000.0,0.110799998,0.111400001,1,2755.0,1,4000.0,0.110799998,1,0,,0,,131.220001221,0.111400001,4000,33,4000,4000,1,2755,2755,0.1960251340940815,Low
CA,INDIVIDUAL,10+ years,kmex/univision,Good Loan,Good Loan,2,0,65640,5/8/2021,4/15/2021,5/11/2021,0,234569,5/1/2021 12:00:00 AM,6/11/2021,4,C2,0,Not Verified,90000.0,0.172499999,0.113399997,0,,0,,0.172499999,1,1,3154.0,1,5000.0,87.190002441,0.113399997,5000,51,5000,5000,1,3154,3154,0.210886899071626,Low
KY,INDIVIDUAL,3 years,Video Monitoring Services,Good Loan,Good Loan,1,4,66431,2/9/2021,3/12/2021,3/12/2021,0,243540,2/1/2021 12:00:00 AM,4/12/2021,0,B5,0,Not Verified,27000.0,0.100000001,0.122100003,0,,0,,0.100000001,1,1,3028.0,1,2525.0,84.120002747,0.122100003,2525,8,2525,2525,1,3028,3028,0.17419366489578691,Low
MS,INDIVIDUAL,10+ years,crown cork & seal,Good Loan,Good Loan,2,0,66749,12/8/2021,12/11/2021,1/12/2021,0,246329,12/1/2021 12:00:00 AM,2/12/2021,0,C4,0,Not Verified,34000.0,0.220899999,0.1347,0,,0,,0.220899999,1,1,12975.0,1,10625.0,360.429992676,0.1347,10625,16,10625,10625,1,12975,12975,0.18754873519657053,Low
CA,INDIVIDUAL,< 1 year,The Coggins Co.,Good Loan,Good Loan,1,4,66943,8/10/2021,7/14/2021,10/11/2021,0,247802,8/1/2021 12:00:00 AM,11/11/2021,0,B4,1,Not Verified,24000.0,0.039999999,0.1149,0,,0,,0.039999999,1,1,3144.0,1,2800.0,61.569999695,0.1149,2800,23,2800,2800,1,3144,3144,0.2303501283856068,Low
KS,INDIVIDUAL,3 years,Acquity,Good Loan,Good Loan,3,0,66964,6/8/2021,6/11/2021,6/11/2021,0,247990,6/1/2021 12:00:00 AM,7/11/2021,0,D3,0,Not Verified,138000.0,0.091600001,0.132400006,0,,0,,0.091600001,1,1,9129.0,1,7500.0,253.580001831,0.132400006,7500,37,7500,7500,1,9129,9129,0.25632104862710464,Medium
MI,INDIVIDUAL,1 year,Genesys PHO,Good Loan,Good Loan,0,0,67503,10/9/2021,2/14/2021,2/12/2021,0,252415,10/1/2021 12:00:00 AM,3/12/2021,0,A4,0,Not Verified,56000.0,0.154899999,0.085900001,0,,0,,0.154899999,1,1,11280.0,1,10000.0,316.109985352,0.085900001,10000,49,10000,10000,1,11280,11280,0.1304729170605773,Low
GA,INDIVIDUAL,9 years,Matrix Resources,Good Loan,Good Loan,0,0,68163,2/10/2021,2/13/2021,2/13/2021,0,258249,2/1/2021 12:00:00 AM,3/13/2021,11,A3,0,Not Verified,100000.0,0.064999998,0.071400002,0,,0,,0.064999998,1,1,3342.0,1,3000.0,92.819999695,0.071400002,3000,25,3000,3000,1,3342,3342,0.1311036714054149,Low
CA,INDIVIDUAL,< 1 year,Albertsons,Good Loan,Good Loan,0,4,68381,3/8/2021,3/15/2021,3/11/2021,0,260179,3/1/2021 12:00:00 AM,4/11/2021,0,A5,0,Not Verified,13200.0,0.0973,0.086300001,0,,0,,0.0973,1,1,7542.0,1,6625.0,209.539993286,0.086300001,6625,9,6625,6625,1,7542,7542,0.12169727979842362,Low
NC,INDIVIDUAL,10+ years,CAROLINA BROKERAGE CO,Good Loan,Good Loan,2,0,68817,3/8/2021,9/10/2021,9/10/2021,0,264119,3/1/2021 12:00:00 AM,10/10/2021,6,C1,0,Not Verified,46116.0,0.130400002,0.110299997,0,,0,,0.130400002,1,1,11709.0,1,10000.0,327.529998779,0.110299997,10000,23,10000,10000,1,11709,11709,0.16795200966082285,Low
